개별배우,누적관객수
오달수,888221202
송강호,590341673
박진우,564761275
조덕제,472425665
장준녕,443919792
라미란,441843350
이경영,436380238
윤제문,435609911
송영창,418893180
김의성,417566871
유승목,413000924
조진웅,412837102
이정재,395653700
유해진,380817094
하정우,378169853
황정민,375987572
류승룡,363909345
김윤석,360374687
고창석,343232228
김해숙,338256279
박노식,335752499
최덕문,330153022
최진호,330134002
장광,315552240
마동석,308391460
김병옥,307825239
고수희,307599811
박해일,297490539
이병헌,297329052
설경구,293200377
고아성,287419625
권병길,279171343
김원해,273712411
김대근,270895140
김태준,269647301
박수영,269331271
김대현,268022151
정진영,266730458
신정근,261884889
정만식,261198705
조재윤,261067388
이승준,258849824
예수정,258117841
정우성,256003022
김강일,254785681
김명곤,248402732
박영수,246031169
김태훈,241266870
김동욱,239782610
이주실,239177310
전배수,238263229
이준혁,237987325
심은경,237963149
장영남,234221823
김수현,232524143
변희봉,231186711
김뢰하,230312202
김홍파,229187734
서현우,226088379
강동원,223484492
이재응,222210921
배두나,221852182
김근영,221815897
김효선,220385565
김혜수,219569056
신현종,218312865
진경,217371042
전지현,217081595
박명신,216342955
한효주,214696640
김학선,212515850
이미도,210018771
손진호,209919710
정원중,207397284
김상호,206062499
김지수,205224102
이용녀,202209437
이훈진,201454386
김길동,199634976
주진모,199235655
김인권,198857317
김다영,197433577
오정세,197139944
진구,196920716
김종준,196510191
정강희,196510191
조진영,196510191
이왕우,196510191
김병훈,196510191
신승리,196510191
김창렬,196510191
김선영,196117302
김향기,193151678
정재영,190592843
이승훈,189540863
최민식,188852573
박철민,186938796
정대용,185751988
김재철,183853820
이연경,183579534
조덕현,181525271
황인준,181419011
박민규,181041902
노남석,180575372
곽도원,179262462
박보영,177539239
오희준,177034343
이봉련,176901366
주영호,175797891
이엘,174202989
박병은,173861775
이란희,172288470
박중훈,171978798
최욱,170890916
박성웅,170226236
임달화,169970252
정석용,169909595
박길수,169212666
서동수,168352404
이상민,167944982
김민석,167268485
박윤호,166395719
박재홍,166199391
류승수,165671666
이정은,165664182
배성우,165564027
김인우,164426987
김현중,163772066
이정현,163741277
이한위,163644539
성동일,163318110
엄지원,162911513
강신일,162864057
이해영,162586285
박병렬,162163703
최일화,161739387
지대한,159905948
이민기,159114220
천우희,157162366
백윤식,154338958
진선규,154159314
천보근,154040142
김동원,153822352
문영동,153680140
이한솔,151728702
손병호,151640751
유연석,150257844
정지훈,149068724
홍의정,149056913
성유빈,147251262
유재명,146407274
이동휘,145971197
안용우,145396455
한지은,144350099
원동연,144323831
손지훈,143936918
리우진,142396997
안길강,141422562
이태영,141260449
조승우,140330817
김희원,140118989
김대명,139259459
안성기,138251843
전국환,138239197
공정환,138140203
조복래,137839741
조정석,137382496
김준형,137372142
양명헌,137178536
박보검,136763868
하지원,136761127
서영주,134883812
김남준,134664717
김호연,134543995
고준,134248293
진용욱,133839245
김수안,133544287
엄정화,132874971
권율,131981046
김지영,131871015
조상원,131074290
박민우,130818191
정윤헌,130697072
이종석,129780967
박지아,129625976
주지훈,129352566
김영애,129137595
김성균,128588519
최우식,128236682
송승현,128130715
김광규,127713131
신정원,127656908
백동현,127608679
최정우,127512602
서진원,127374267
손종학,127310612
장소연,127159419
이지향,127027448
김종수,126699573
